compound,salinity,group,day,methane_mean,methane_sd,staff
toluene,saline,treatment,466,84,6.5,Willy_Wonka
unamended,brackish,unamended,466,37.65,11.4872755690808,Chuck_Norris
unamended,fresh,unamended,466,NA,NA,Willy_Wonka
unamended,saline,unamended,466,26.4333333333333,18.9616279188611,Chuck_Norris
unamended,brackish,media_only,499,NA,NA,Willy_Wonka
unamended,fresh,media_only,499,NA,NA,Chuck_Norris
unamended,saline,media_only,499,NA,NA,Willy_Wonka
benzene,brackish,sterile,499,NA,NA,Chuck_Norris
hexane,brackish,sterile,499,NA,NA,Willy_Wonka
toluene,brackish,sterile,499,NA,NA,Chuck_Norris
benzene,fresh,sterile,499,NA,NA,Willy_Wonka
hexane,fresh,sterile,499,NA,NA,Chuck_Norris
toluene,fresh,sterile,499,NA,NA,Willy_Wonka
benzene,saline,sterile,499,NA,NA,Chuck_Norris
hexane,saline,sterile,499,NA,NA,Willy_Wonka
toluene,saline,sterile,499,NA,NA,Chuck_Norris
benzene,brackish,treatment,499,139.066666666667,8.50490054811538,Willy_Wonka
hexane,brackish,treatment,499,166.333333333333,15.3913395561703,Chuck_Norris
toluene,brackish,treatment,499,131.6,85.3971896493087,Willy_Wonka
benzene,fresh,treatment,499,NA,NA,Chuck_Norris
hexane,fresh,treatment,499,60.3666666666667,67.0592524066093,Willy_Wonka
toluene,fresh,treatment,499,50.2,29.2887350358461,Chuck_Norris
benzene,saline,treatment,499,12.5333333333333,3.40783411176855,Willy_Wonka
hexane,saline,treatment,499,40.8,24.2538656712698,Chuck_Norris
toluene,saline,treatment,499,104.566666666667,6.23244200400881,Willy_Wonka
unamended,brackish,unamended,499,40.3333333333333,10.5291658422371,Chuck_Norris
unamended,fresh,unamended,499,NA,NA,Willy_Wonka
unamended,saline,unamended,499,29.5666666666667,20.7668806837554,Chuck_Norris
unamended,brackish,media_only,555,NA,NA,Willy_Wonka
unamended,fresh,media_only,555,NA,NA,Chuck_Norris
unamended,saline,media_only,555,NA,NA,Willy_Wonka
benzene,brackish,sterile,555,NA,NA,Chuck_Norris
hexane,brackish,sterile,555,NA,NA,Willy_Wonka
toluene,brackish,sterile,555,NA,NA,Chuck_Norris
benzene,fresh,sterile,555,NA,NA,Willy_Wonka
hexane,fresh,sterile,555,NA,NA,Chuck_Norris
toluene,fresh,sterile,555,NA,NA,Willy_Wonka
benzene,saline,sterile,555,NA,NA,Chuck_Norris
hexane,saline,sterile,555,NA,NA,Willy_Wonka
toluene,saline,sterile,555,NA,NA,Chuck_Norris
benzene,brackish,treatment,555,160.233333333333,9.69346859144514,Willy_Wonka
hexane,brackish,treatment,555,186.5,10.7056060080689,Chuck_Norris
toluene,brackish,treatment,555,132.6,87.1621477477466,Willy_Wonka
benzene,fresh,treatment,555,NA,NA,Chuck_Norris
hexane,fresh,treatment,555,68.1666666666667,83.0816666499495,Willy_Wonka
toluene,fresh,treatment,555,50.5666666666667,32.1876270224031,Chuck_Norris
benzene,saline,treatment,555,10,4.1,Willy_Wonka
hexane,saline,treatment,555,47.3333333333333,33.5145242146347,Chuck_Norris
toluene,saline,treatment,555,134.8,10.5588825166302,Willy_Wonka
unamended,brackish,unamended,555,44.2,9.4175368329516,Chuck_Norris
unamended,fresh,unamended,555,NA,NA,Willy_Wonka
unamended,saline,unamended,555,33.1666666666667,30.4851329886116,Chuck_Norris
unamended,brackish,media_only,62,NA,NA,Willy_Wonka
unamended,fresh,media_only,62,NA,NA,Chuck_Norris
unamended,saline,media_only,62,NA,NA,Willy_Wonka
benzene,brackish,sterile,62,NA,NA,Chuck_Norris
hexane,brackish,sterile,62,NA,NA,Willy_Wonka
toluene,brackish,sterile,62,NA,NA,Chuck_Norris
benzene,fresh,sterile,62,NA,NA,Willy_Wonka
hexane,fresh,sterile,62,NA,NA,Chuck_Norris
toluene,fresh,sterile,62,NA,NA,Willy_Wonka
benzene,saline,sterile,62,NA,NA,Chuck_Norris
hexane,saline,sterile,62,NA,NA,Willy_Wonka
toluene,saline,sterile,62,NA,NA,Chuck_Norris
benzene,brackish,treatment,62,23.9,11.8456743159687,Willy_Wonka
hexane,brackish,treatment,62,8.96666666666667,2.28546129552293,Chuck_Norris
toluene,brackish,treatment,62,15.6666666666667,5.37152988759565,Willy_Wonka
benzene,fresh,treatment,62,19.4333333333333,2.2300971578237,Chuck_Norris
hexane,fresh,treatment,62,16.0666666666667,13.1188160034865,Willy_Wonka
