compound,salinity,group,replicate_number,day,methane_umoles
toluene,brackish,treatment,1,165,53.8
toluene,brackish,treatment,2,165,54.8
toluene,brackish,treatment,3,165,8.8
toluene,fresh,sterile,1,165,NA
toluene,fresh,sterile,2,165,NA
toluene,fresh,sterile,3,165,NA
toluene,fresh,treatment,1,165,25.8
toluene,fresh,treatment,2,165,21.4
toluene,fresh,treatment,3,165,2.6
toluene,saline,sterile,1,165,NA
toluene,saline,sterile,2,165,NA
toluene,saline,sterile,3,165,NA
toluene,saline,treatment,1,165,20.5
toluene,saline,treatment,2,165,13.7
toluene,saline,treatment,3,165,19.4
unamended,brackish,media_only,1,165,NA
unamended,brackish,media_only,2,165,NA
unamended,brackish,media_only,3,165,NA
unamended,brackish,unamended,1,165,5.4
unamended,brackish,unamended,2,165,16.2
unamended,brackish,unamended,3,165,6.1
unamended,fresh,media_only,1,165,NA
unamended,fresh,media_only,2,165,NA
unamended,fresh,media_only,3,165,NA
unamended,fresh,unamended,1,165,48.3
unamended,fresh,unamended,2,165,NA
unamended,fresh,unamended,3,165,50.3
unamended,saline,media_only,1,165,NA
unamended,saline,media_only,2,165,NA
unamended,saline,media_only,3,165,NA
unamended,saline,unamended,1,165,-9.6
unamended,saline,unamended,2,165,5.1
unamended,saline,unamended,3,165,-2.5
benzene,brackish,sterile,1,207,NA
benzene,brackish,sterile,2,207,NA
benzene,brackish,sterile,3,207,NA
benzene,brackish,treatment,1,207,79
